is_number,title,year,status,category,keywords,related_service,source_url
IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements",2023,Mandatory (QCO),Compulsory Certification,"Audio, Video, Information, Communication, Technology, Equipment",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 302-2-25,Safety of household and similar electrical appliances: Part 2 Particular requirements: Section 25 Microwave ovens,Current,Mandatory (QCO),Compulsory Certification,"Safety, household, similar, electrical, appliances, Part",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 302-2:26,Safety of household and similar electrical appliances: Part 2 Particular requirements: Section 26 Clocks,Current,Mandatory (QCO),Compulsory Certification,"Safety, household, similar, electrical, appliances, Part",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 16242 (Part 1),General and Safety Requirements for UPS,Current,Mandatory (QCO),Compulsory Certification,"General, Safety, Requirements",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 15885 (Part 2/Sec 13),Safety of Lamp Control gear Part 2 Particular Requirements Section 13 d.c. or a.c. Supplied Electronic Control gear for LED Modules,Current,Mandatory (QCO),Compulsory Certification,"Safety, Lamp, Control, gear, Part, Particular",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 16046,"Secondary Cells and Batteries containing Alkaline or other non-acid Electrolytes-Safety Requirements for Portable sealed secondary cells, and for Batteries made from them for use in portable applications",Current,Mandatory (QCO),Compulsory Certification,"Secondary, Cells, Batteries, containing, Alkaline, other",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 16102(Part 1),Self-Ballasted LED Lamps for General Lighting Services Part 1 Safety Requirements,Current,Mandatory (QCO),Compulsory Certification,"Self, Ballasted, Lamps, General, Lighting, Services",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 16333 (Part-3),Mobile Phone Handsets Part 3 Indian Language Support for Mobile Phone Handsets – Specific Requirements,Current,Mandatory (QCO),Compulsory Certification,"Mobile, Phone, Handsets, Part, Indian, Language",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 10322 (Part 5/Section 2): 2012,Luminaires Part 5: Particular Requirements Section 2 Recessed Luminaires,2012,Mandatory (QCO),Compulsory Certification,"Luminaires, Part, Particular, Requirements, Section, Recessed",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 10322 (Part 5/Section 3): 2012,Luminaires – Part 5: Particular Requirements Section 3 Luminaires for Road and Street Lighting,2012,Mandatory (QCO),Compulsory Certification,"Luminaires, Part, Particular, Requirements, Section, Road",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 10322 (Part 5/Section 5): 2013,Luminaires – Part 5: Particular Requirements Section 5 Flood Lights,2013,Mandatory (QCO),Compulsory Certification,"Luminaires, Part, Particular, Requirements, Section, Flood",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 10322 (Part 5/Section 6): 2013,Luminaires – Part 5: Particular Requirements Section 6 Hamp Lamps,2013,Mandatory (QCO),Compulsory Certification,"Luminaires, Part, Particular, Requirements, Section, Hamp",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 10322 (Part 5/Section 7): 2013,Luminaires – Part 5: Particular Requirements Section 7 Lighting Chains,2013,Mandatory (QCO),Compulsory Certification,"Luminaires, Part, Particular, Requirements, Section, Lighting",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 10322 (Part 5/Section 8): 2013,Luminaires – Part 5: Particular Requirements Section 8 Luminaires for Emergency Lighting,2013,Mandatory (QCO),Compulsory Certification,"Luminaires, Part, Particular, Requirements, Section, Emergency",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 16242 (Part 1):2014,General and Safety Requirements for UPS,2014,Mandatory (QCO),Compulsory Certification,"General, Safety, Requirements",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 302 (Part 1): 2008,Safety of Household and similar electrical appliances Part 1 General requirements,2008,Mandatory (QCO),Compulsory Certification,"Safety, Household, similar, electrical, appliances, Part",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 16103 (Part 1): 2012,LED modules for general lighting: Part 1 safety requirements,2012,Mandatory (QCO),Compulsory Certification,"modules, general, lighting, Part, safety, requirements",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 10322 (Part 5)Section 9: 2017,Luminaries: Part 5 Particular Requirements Section 9 Rope Lights,2017,Mandatory (QCO),Compulsory Certification,"Luminaries, Part, Particular, Requirements, Section, Rope",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 302 (Part 2): Section 6: 2009,"Safety of household and similar electrical appliances: part 2 particular requirements, section 6 cooking ranges, hobs, ovens and similar appliances",2009,Mandatory (QCO),Compulsory Certification,"Safety, household, similar, electrical, appliances, part",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 302 (Part 2): Section 15: 2009,safety of household and similar electrical appliances: part 2 particular requirements: section 15 appliances for heating liquids,2009,Mandatory (QCO),Compulsory Certification,"safety, household, similar, electrical, appliances, part",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 60669-2-1: 2008,Particular requirements for Electronic switches standards for Switches for household and similar fixed electrical installations.,2008,Mandatory (QCO),Compulsory Certification,"Particular, requirements, Electronic, switches, standards, Switches",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 18112:2022,Digital Television Receiver for Satellite Broadcast Transmission – Specification,2022,Mandatory (QCO),Compulsory Certification,"Digital, Television, Receiver, Satellite, Broadcast, Transmission",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 14286IS/IEC 61730 -1IS/IEC 61730 -2,Crystalline Silicon Terrestrial Photovoltaic (PV) modules – Design Qualification And Type Approval,Current,Mandatory (QCO),Compulsory Certification,"Crystalline, Silicon, Terrestrial, Photovoltaic, modules, Design",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 16077IS/IEC 61730 -1IS/IEC 61730 -2,Thin-Film Terrestrial Photovoltaic (PV) Modules – Design Qualification and Type Approval,Current,Mandatory (QCO),Compulsory Certification,"Thin, Film, Terrestrial, Photovoltaic, Modules, Design",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 16221 (Part 2),Safety of Power Converters for Use in Photovoltaic Power Systems Part 2-Particular Requirements for Inverters,Current,Mandatory (QCO),Compulsory Certification,"Safety, Power, Converters, Photovoltaic, Systems, Part",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 16169,Safety of Power Converters for Use in Photovoltaic Power Systems Part 2-Particular Requirements for Inverters,Current,Mandatory (QCO),Compulsory Certification,"Safety, Power, Converters, Photovoltaic, Systems, Part",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 16270,Test Procedure of Islanding Prevention Measures for Utility-Interconnected Photovoltaic Inverters,Current,Mandatory (QCO),Compulsory Certification,"Test, Procedure, Islanding, Prevention, Measures, Utility",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 798:2020,Ortho Phosphoric Acid – Specification,2020,Mandatory (QCO),Compulsory Certification,"Ortho, Phosphoric, Acid, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 17439:2020,Polyphosphoric Acid – Specification,2020,Mandatory (QCO),Compulsory Certification,"Polyphosphoric, Acid, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 17412:2020,Trimethyl Phosphite – Technical Grade,2020,Mandatory (QCO),Compulsory Certification,"Trimethyl, Phosphite, Technical, Grade",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 12171:2019,Cotton Bales- Specification,2019,Mandatory (QCO),Compulsory Certification,"Cotton, Bales, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en
IS 12330,Sulphate Resisting Portland Cement,2003,Mandatory (QCO),Compulsory Certification,"Sulphate, Resisting, Portland, Cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12600,Low heat Portland Cement,Current,Mandatory (QCO),Compulsory Certification,"heat, Portland, Cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1489 (Part 1),Portland Pozzolana Cement-Part1 Fly-ash based,Current,Mandatory (QCO),Compulsory Certification,"Portland, Pozzolana, Cement, based",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1489 (Part 2),Portland Pozzolana Cement-Part 2 Calcined clay based,Current,Mandatory (QCO),Compulsory Certification,"Portland, Pozzolana, Cement, Part, Calcined, clay",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 269,Ordinary Portland Cement,Current,Mandatory (QCO),Compulsory Certification,"Ordinary, Portland, Cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3466,Masonry Cement,Current,Mandatory (QCO),Compulsory Certification,"Masonry, Cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 455,Portland Slag Cement,Current,Mandatory (QCO),Compulsory Certification,"Portland, Slag, Cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6452,High Alumina Cement for Structural use,Current,Mandatory (QCO),Compulsory Certification,"High, Alumina, Cement, Structural",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6909,Super sulphated cement,Current,Mandatory (QCO),Compulsory Certification,"Super, sulphated, cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8041,Rapid hardening Portland cement,Current,Mandatory (QCO),Compulsory Certification,"Rapid, hardening, Portland, cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8042,White Portland Cement,Current,Mandatory (QCO),Compulsory Certification,"White, Portland, Cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8043,Hydrophobic Portland Cement,Current,Mandatory (QCO),Compulsory Certification,"Hydrophobic, Portland, Cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8229,Oil well Cement,Current,Mandatory (QCO),Compulsory Certification,"well, Cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16415: 2015,Composite Cement- Specification.,2015,Mandatory (QCO),Compulsory Certification,"Composite, Cement, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16993: 2018,Microfine Ordinary Portland Cement- Specification.,2018,Mandatory (QCO),Compulsory Certification,"Microfine, Ordinary, Portland, Cement, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15895: 2018,High Alumina Refractory Cement.,2018,Mandatory (QCO),Compulsory Certification,"High, Alumina, Refractory, Cement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12640 (Part 1),Residual current operated circuit breakers for house hold andsimilar uses-Part 1 Circuit breakers without integralovercurrent protection (RCCBs),2004,Mandatory (QCO),Compulsory Certification,"Residual, current, operated, circuit, breakers, house",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12640 (Part 2),Residual current operated circuit breakers for household andsimilar uses–Part 2 Circuit breakers with integral overcurrentprotection(RCVOs),Current,Mandatory (QCO),Compulsory Certification,"Residual, current, operated, circuit, breakers, household",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13010,"AC watt-hour meters, class 0.5, 1 & 2",Current,Mandatory (QCO),Compulsory Certification,"watt, hour, meters, class",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13779,"AC static watt-hour meters, class 1 & 2",Current,Mandatory (QCO),Compulsory Certification,"static, watt, hour, meters, class",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14697,"AC static transformer operated watt-hour and VAR-hour meters,class 0.2S & 0.5S",Current,Mandatory (QCO),Compulsory Certification,"static, transformer, operated, watt, hour, meters",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15111 (Part 1 & 2),Self Ballasted Lamps for General Lighting Services – Part 1 :Safety Requirements & Part 2 : Performance Requirements,Current,Mandatory (QCO),Compulsory Certification,"Self, Ballasted, Lamps, General, Lighting, Services",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 302 (Part 2/Sec 3),Safety of household and similar electrical appliances–Electric iron,Current,Mandatory (QCO),Compulsory Certification,"Safety, household, similar, electrical, appliances, Electric",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 302 (Part 2/Sec 201),Safety of household and similar electrical appliances–Electric immersion water-heaters,Current,Mandatory (QCO),Compulsory Certification,"Safety, household, similar, electrical, appliances, Electric",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 302 (Part 2/Sec 202),Safety of household and similar electrical appliances–Electric stoves,Current,Mandatory (QCO),Compulsory Certification,"Safety, household, similar, electrical, appliances, Electric",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 302 (Part 2/Sec 30),Safety of household and similar electrical appliances-Room heaters,Current,Mandatory (QCO),Compulsory Certification,"Safety, household, similar, electrical, appliances, Room",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3854,Switches for domestic and similar purposes,Current,Mandatory (QCO),Compulsory Certification,"Switches, domestic, similar, purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 418,Tungsten filament general service electric lamps (upto100 W ),Current,Mandatory (QCO),Compulsory Certification,"Tungsten, filament, general, service, electric, lamps",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 694,PVC insulated cables for working voltages up to and including 1100V,Current,Mandatory (QCO),Compulsory Certification,"insulated, cables, working, voltages, including",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8828 *,Electrical Accessories-Circuit breakers for overcurrent protection for household and similar installations,Current,Mandatory (QCO),Compulsory Certification,"Electrical, Accessories, Circuit, breakers, overcurrent, protection",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 9968 (Part 1),Elastomer insulated cables (Part.1): For working voltages up to and including1100 V,Current,Mandatory (QCO),Compulsory Certification,"Elastomer, insulated, cables, Part, working, voltages",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8144,Multi-Purpose dry batteries,1987,Mandatory (QCO),Compulsory Certification,"Multi, Purpose, batteries",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15757,Follow–up formula–complimentary foodsDe-notified from compulsory BIS certification,2024,Mandatory (QCO),Compulsory Certification,"Follow, formula, complimentary, foodsDe, notified, from",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11536,Processed cereal based complementary foodsDe-notified from compulsory BIS certification,Current,Mandatory (QCO),Compulsory Certification,"Processed, cereal, based, complementary, foodsDe, notified",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1165,Milk-powderDe-notified from compulsory BIS certification,Current,Mandatory (QCO),Compulsory Certification,"Milk, powderDe, notified, from, compulsory, certification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1166,"Condensed milk, partly skimmed and skimmed condensed milkDe-notified from compulsory BIS certification",Current,Mandatory (QCO),Compulsory Certification,"Condensed, milk, partly, skimmed, condensed, milkDe",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12176,Sweetened ultra high temperature treated condensed milkDe-notified from compulsory BIS certification,Current,Mandatory (QCO),Compulsory Certification,"Sweetened, ultra, high, temperature, treated, condensed",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13334 (Part 1),"Skimmed milk-powder, standard gradeDe-notified from compulsory BIS certification",Current,Mandatory (QCO),Compulsory Certification,"Skimmed, milk, powder, standard, gradeDe, notified",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13334 (Part 2),"Skimmed milk-powder, extra gradeDe-notified from compulsory BIS certification",2022,Mandatory (QCO),Compulsory Certification,"Skimmed, milk, powder, extra, gradeDe, notified",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13428,Packaged Natural Mineral WaterDe-notified from compulsory BIS certification,Current,Mandatory (QCO),Compulsory Certification,"Packaged, Natural, Mineral, WaterDe, notified, from",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14433,Infant milk substitutesDe-notified from compulsory BIS certification,Current,Mandatory (QCO),Compulsory Certification,"Infant, milk, substitutesDe, notified, from, compulsory",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17945: 2022,Food for Special Medical Purpose intended for InfantsDe-notified from compulsory BIS certification,2022,Mandatory (QCO),Compulsory Certification,"Food, Special, Medical, Purpose, intended, InfantsDe",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14542,Partly skimmed milk powderDe-notified from compulsory BIS certification,Current,Mandatory (QCO),Compulsory Certification,"Partly, skimmed, milk, powderDe, notified, from",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14543,Packaged Drinking Water (Other than Packaged Natural Mineral Water)De-notified from compulsory BIS certification,Current,Mandatory (QCO),Compulsory Certification,"Packaged, Drinking, Water, Other, than, Natural",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
